Sector,Project Name,Project Name_English,Analysis,Analysis Information Extracted,Type,Type English,URL,Date,File Size,Document_ID,Project_ID,Feasibility Study Type,Recommendation,Description of Recommendation,Feasibility_Study_Complete,EIIR_Estimated,EIIR_Above_Viable,Climate Change Mentioned,LLM Model Used
Doprava,I/68 Sabinov preložka cesty (aktualizácia),I/68 Sabinov road crossing (update),,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-realizovatelnosti-v-a-vi-pan-europsky-koridor-1-cast-nove-mesto-nad-vahom-zilina-cadca-2-aktualizacia-2,,,1.156,SLK_DP-024,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
Doprava,R1 Banská Bystrica – Slovenská Ľupča (aktualizácia pred podpisom zmluvy),R1 Banská Bystrica – Slovenská Ľupča (update before signing the contract),,,štúdia uskutočniteľnosti,feasibility study,https://ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=5,,,1.157,SLK_DP-027,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"I/61 Trenčín, preložka (aktualizácia)","I/61 Trenčín, transfer (update)",,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-uskutocnitelnosti-i-61-trencin-prelozka,,,1.158,SLK_DP-028,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,D3 Kysucké Nové Mesto - Oščadnica (III. etapa),D3 Kysucké Nové Mesto - Oščadnica (III stage),,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=3,,,1.159,SLK_DP-029,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Modernizácia železničnej trate Poprad – Vydrník (aktualizácia),Modernization of the railway line Poprad – Vydrník (update),,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zilina-kosice-cierna-n-tisou-st-hr.html,,,1.16,SLK_DP-030,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Rýchlostná cesta R4 Prešov – severný obchvat, II. etapa (aktualizácia)","Expressway R4 Prešov – northern bypass, II. stage (update)",,,štúdia uskutočniteľnosti,feasibility study,https://ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=8,,,1.161,SLK_DP-032,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"D3 Oščadnica – Čadca, Bukov (II. etapa)","D3 Oščadnica – Čadca, Bukov (II stage)",,,štúdia uskutočniteľnosti,feasibility study,https://ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=3,,,1.162,SLK_DP-033,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"D4 Bratislava, Rača – Záhorská Bystrica (tunel Karpaty)","D4 Bratislava, Rača – Záhorská Bystrica (Carpathian tunnel)",,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=4,,,1.163,SLK_DP-035,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Elektrifikácia trate Bánovce nad Ondavou – Humenné (aktualizácia),Electrification of the line Bánovce nad Ondavou – Humenné (update),,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zsr-elektrifikacia-trate-banovce-nad-ondavou-humenne.html,,,1.164,SLK_DP-051,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Vybudovanie diaľkovo ovládaného zabezpečovacieho zariadenia na trati Prešov – Strážske,Construction of remotely controlled security equipment on the Prešov - Strážske line,,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-uskutocnitelnosti-dispecerizacia-strazske-presov,,,1.165,SLK_DP-037,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
Doprava,"D3 Žilina, Brodno – Kysucké Nové Mesto (I. etapa)","D3 Žilina, Brodno – Kysucké Nové Mesto (stage I)",,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=3,,,1.166,SLK_DP-038,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
Doprava,R1 Banská Bystrica – Slovenská Ľupča (aktualizácia),R1 Banská Bystrica – Slovenská Ľupča (update),,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=5,,,1.167,SLK_DP-039,"XLSX | Complex File | URL pointing to Various PDFs including XLSX, Docs, Maps and Tables",,,,,,,
Doprava,Nákup 26 ks dieselových motorových jednotiek pre osobnú dopravu,Purchase of 26 diesel engine units for passenger transport,,,štúdia uskutočniteľnosti,feasibility study,https://www.zssk.sk/o-spolocnosti/projekty-eu/opii/,,,1.168,SLK_DP-041,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Preložka cesty I/61 v Trenčíne,Interchange of road I/61 in Trenčín,,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-uskutocnitelnosti-i-61-trencin-prelozka,,,1.169,SLK_DP-042,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Nákup 5 ks ekologických koľajových vozidiel pre osobnú dopravu,Purchase of 5 ecological rolling stock for passenger transport,,,štúdia uskutočniteľnosti,feasibility study,https://www.zssk.sk/o-spolocnosti/projekty-eu/opii/,,,1.17,SLK_DP-043,Complex File | Website,,,,,,,
Doprava,ŽSR - Zriadenie a prevádzkovanie kontrolných bodov,ŽSR - Establishment and operation of checkpoints,,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/sr-zriadenie-prevadzkovanie-kontrolnych-bodov.html,,,1.171,SLK_DP-045,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Dopravný uzol Bratislava,Bratislava transport hub,,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/uzol-bratislava.html,,,1.172,SLK_DP-046,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Modernizácia železničnej trate Devínska Nová Ves - štátna hranica,Modernization of the railway line Devínska Nová Ves - state border,,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/sr-zdvojkolajnenie-trate-dnv-marchegg-st-hr.html,,,1.173,SLK_DP-048,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Rýchlostná cesta R2 Kriváň – Tornaľa,Expressway R2 Kriváň – Tornaľa,,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=6,,,1.174,SLK_DP-049,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Modernizácia železničnej trate Poprad – Markušovce,Modernization of the railway line Poprad – Markušovce,,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zilina-kosice-cierna-n-tisou-st-hr.html,,,1.175,SLK_DP-050,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Elektrifikácia trate Bánovce nad Ondavou – Humenné (aktualizácia),Electrification of the line Bánovce nad Ondavou – Humenné (update),,,štúdia uskutočniteľnosti,feasibility study,http://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zsr-elektrifikacia-trate-banovce-nad-ondavou-humenne.html,,,1.176,SLK_DP-036,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Modernizácia železničného koridoru Žilina – Košice – Čierna nad Tisou,Modernization of the railway corridor Žilina – Košice – Čierna nad Tisou,,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zilina-kosice-cierna-n-tisou-st-hr.html,,,1.177,SLK_DP-053,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Diaľnica D3, Žilina, Strážov – štátna hranica SR/PR","Highway D3, Žilina, Strážov – state border SR/PR",,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=3,,,1.178,SLK_DP-054,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,R2 Zvolen západ – Zvolen východ,R2 West selected – East selected,,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/stavby/studie-realizovatelnosti?feasibility_study_list%5Broute%5D=6,,,1.179,SLK_DP-055,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Modernizácia cesty I/75 Galanta – Nové Zámky, úsek Šaľa – obchvat (aktualizácia č. 2)","Modernization of road I/75 Galanta – Nové Zámky, section Šaľa – bypass (update no. 2)",,,štúdia uskutočniteľnosti,feasibility study,https://www.ssc.sk/sk/cinnosti/vystavba-a-rekonstrukcia/projekty-eu-fondy/projekty-opii/cesta-i-75-sala-obchvat.ssc,,,1.18,SLK_DP-056,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Implementácia GSM-R do siete ŽSR, úsek Varín – Košice – Čierna nad Tisou","Implementation of GSM-R into the ŽSR network, section Varín – Košice – Čierna nad Tisou",,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zilina-kosice-cierna-n-tisou-st-hr.html,,,1.181,SLK_DP-058,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Štúdia uskutočniteľnosti I/64 Topoľčany – Žilina, úsek Porúbka - Lietavská Lúčka, obchvat","Feasibility study I/64 Topoľčany – Žilina, section Porúbka - Lietavská Lúčka, bypass",,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-uskutocnitelnosti-i-64-topolcany-zilina-aktualizacia,,,1.182,SLK_DP-059,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,ŽSR Zvýšenie priepustnosti trate Bratislava - Dunajská Streda - Komárno,ŽSR Increasing the capacity of the line Bratislava - Dunajská Streda - Komárno,,,štúdia uskutočniteľnosti,feasibility study,http://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/su-zvysenie-priepustnosti-trate-bratislava-komarno.html,,,1.183,SLK_DP-060,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Výstavba novej železničnej trate v úseku Nitra – Trnovec nad Váhom,Construction of a new railway line in the section Nitra - Trnovec nad Váhom,,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zsr-elektrifikacia-optimalizacia-trate-leopoldov-nitra-surany.html,,,1.184,SLK_DP-061,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Modernizácia cesty I/75 Galanta – Nové Zámky, úsek Šaľa - obchvat","Modernization of road I/75 Galanta – Nové Zámky, section Šaľa - bypass",,,štúdia uskutočniteľnosti,feasibility study,https://www.ssc.sk/sk/cinnosti/vystavba-a-rekonstrukcia/projekty-eu-fondy/projekty-opii/cesta-i-75-sala-obchvat.ssc,,,1.185,SLK_DP-062,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,I/15 Vranov nad Topľou - Stročín,I/15 Vranov nad Topľou - Stročín,,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-realizovatelnosti-i-15-vranov-nad-toplou-strocin,,,1.186,SLK_DP-063,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"I/51, I/61 Hranica SR/ČR – Holíč – Senica – Trnava – Hrnčiarovce nad Parnou","I/51, I/61 SR/CR border – Holíč – Senica – Trnava – Hrnčiarovce nad Parnou",,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-realizovatelnosti-stavby-i-51-i-61-hranica-sr-cr-holic-senica-trnava-hrnciarovce-nad-parnou,,,1.187,SLK_DP-064,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"ŽSR, Modernizácia koridoru, štátna hranica ČR/SR – Čadca – Krásno nad Kysucou - aktualizácia hodnotenia","ŽSR, Modernization of the corridor, state border CR/SR – Čadca – Krásno nad Kysucou - evaluation update",,,štúdia uskutočniteľnosti,feasibility study,http://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/studia-realizovatelnosti-zsr-modernizacia-koridoru-statna-hranica-sr-cadca-krasno-nad-kysucou-mimo-update.html,,,1.188,SLK_DP-065,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Modernizácia cesty I/68 Mníšek nad Popradom – Prešov, úsek Sabinov – obchvat","Modernization of road I/68 Mníšek nad Popradom – Prešov, section Sabinov – bypass",,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-realizovatelnosti-v-a-vi-pan-europsky-koridor-1-cast-nove-mesto-nad-vahom-zilina-cadca-2-aktualizacia-2,,,1.189,SLK_DP-066,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Modernizácia vozového parku ZSSK - časť 6 - aktualizácia hodnotenia,Modernization of the ZSSK fleet - part 6 - evaluation update,,,aktualizácia,update,https://www.zssk.sk/o-spolocnosti/projekty-eu/opii/,,,1.19,SLK_DP-067,,,,,,,,
Doprava,"I/51, I/76 Nitra – Kalná nad Hronom – Levice (Šarovce)","I/51, I/76 Nitra – Kalná nad Hronom – Levice (Šarovce)",,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-realizovatelnosti,,,1.191,SLK_DP-068,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"D1 Lietavská Lúčka – Dubná Skala, technológia tunela","D1 Lietavská Lúčka – Dubná Skala, tunnel technology",,,štúdia uskutočniteľnosti,feasibility study,https://ndsas.sk:8443/Aktualiz%C3%A1cia %C5%A1t%C3%BAdie realizovate%C4%BEnosti technol%C3%B3gia Vi%C5%A1%C5%88ov%C3%A9.zip,,,1.192,SLK_DP-070,Complex File | Broken link on Website,,,,,,,
Doprava,"ŽSR, Modernizácia koridoru, štátna hranica ČR/SR – Čadca – Krásno nad Kysucou časť: Krásno nad Kysucou - Čadca (vrátane)","ŽSR, Modernization of the corridor, state border CR/SR – Čadca – Krásno nad Kysucou part: Krásno nad Kysucou - Čadca (including)",,,štúdia uskutočniteľnosti,feasibility study,http://: https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/studia-realizovatelnosti-zsr-modernizacia-koridoru-statna-hranica-sr-cadca-krasno-nad-kysucou-mimo-zeleznicna-trat-2.html,,,1.193,SLK_DP-073,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,ŽSR: Elektrifikácia trate Bánovce nad Ondavou - Humenné,ŽSR: Electrification of the Bánovce nad Ondavou - Humenné line,,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/zsr-elektrifikacia-trate-banovce-nad-ondavou-humenne.html,,,1.194,SLK_DP-077,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"ŽSR, Elektrifikácia a optimalizácia trate Zvolen - Fiľakovo","ŽSR, Electrification and optimization of the Zvolen - Fiľakovo line",,,štúdia uskutočniteľnosti,feasibility study,https://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/su-elektrifikacia-optimalizacia-trate-zvolen-filakovo.html,,,1.195,SLK_DP-079,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,I/64 Žilina – Topoľčany,I/64 Žilina – Topoľčany,,,štúdia uskutočniteľnosti,feasibility study,https://www.ssc.sk/sk/cinnosti/vystavba-a-rekonstrukcia/projekty-eu-fondy/projekty-opii/studie-realizovatelnosti-projektov-ciest-i-triedy-v-za-a-tn-kraji.ssc,,,1.196,SLK_DP-080,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Elektronický výber mýta,Electronic toll collection,,,štúdia uskutočniteľnosti,feasibility study,https://www.ndsas.sk/spoplatnenie/studia-uskutocnitelnosti,09.09.2020,,1.197,SLK_DP-083,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,"Modernizácia ciest I/66, I/67 a I/77 Rožňava - Bardejovské kúpele","Modernization of roads I/66, I/67 and I/77 Rožňava - Bardejov spa",,,štúdia uskutočniteľnosti,feasibility study,https://www.opii.gov.sk/strategicke-dokumenty/studie-realizovatelnosti/studia-realizovatelnosti-i-67-i-66-i-77-roznava-bardejovske-kupele,,,1.198,SLK_DP-085,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Doprava,Komplexná služba spoplatnenia cestnej infraštruktúry,Comprehensive road infrastructure charging service,,,štúdia uskutočniteľnosti,feasibility study,https://ndsas.sk/spoplatnenie/studia-uskutocnitelnosti,,,1.199,SLK_DP-086,Complex File | Broken link on Website,,,,,,,
Doprava,"ŽSR, Modernizácia koridoru, štátna hranica ČR/SR – Čadca – Krásno nad Kysucou časť: Hranica SR/ČR – Čadca (mimo)","ŽSR, Modernization of the corridor, state border CR/SR – Čadca – Krásno nad Kysucou part: Border SR/CR – Čadca (outside)",,,štúdia uskutočniteľnosti,feasibility study,http://www.zsr.sk/modernizacia-trati/studie-realizovatelnosti/doplnenie-cba-3-etapa-sr-zsr-modernizacia-koridoru-statna-hranica-sr-cadca-mimo.html,,,1.2,SLK_DP-087,Complex File | URL pointing to Various PDFs including Maps and Tables,,,,,,,
Informatizacia,Centrálny ekonomický systém,Central economic system,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_CES_VfM_170503.pdf,12.05.2017,426 kB,2.001,SLK_IT-100,,,,,,,,
Informatizacia,Informačný systém  Obchodného registra SR,Information system of the Commercial Register of the Slovak Republic,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_ORSR_UHP_170512.pdf,12.05.2017,283 kB,2.002,SLK_IT-099,,,,,,,,
Informatizacia,Dátová integrácia: Sprístupnenie údajovej základne VS,Data integration: Making the VS database available,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/Datova_integracia_stanovisko_UHP_20171211.pdf,11.12.2017,516 kB,2.003,SLK_IT-097,,,,,,,,
Informatizacia,Migrácia IS obcí do vládneho cloudu - Plošné rozšírenie IS DCOM - 2. etapa (DCOM+),IS migration of municipalities to the government cloud - Broad expansion of IS DCOM - 2nd stage (DCOM+),,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_DCOM_UHP_20171211.pdf,11.12.2017,529 kB,2.004,SLK_IT-098,,,,,,,,
Informatizacia,Informačný systém výstavby,Construction information system,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/ISV_stanovisko_UHP_20180228.pdf,28.2.2018,499 kB,2.005,SLK_IT-096,,,,,,,,
Informatizacia,IT platforma lepšej regulácie podľa stratégie RIA 2020,IT platform for better regulation according to the RIA 2020 strategy,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/RIA_stanovisko_UHP_2018-04-18.pdf,19.4.2018,460 kB,2.006,SLK_IT-095,,,,,,,,
Informatizacia,Rozvoj platformy integrácie údajov a Manažment osobných údajov,Data integration platform development and Personal data management,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_RozvojCSRU_UHP_20180418.pdf,19.4.2018,442 kB,2.007,SLK_IT-094,,,,,,,,
Informatizacia,"Zvyšovanie úžitkovej hodnoty digitálnych služieb pre občanov, podnikateľov a inštitúcie verejnej správy","Increasing the utility value of digital services for citizens, entrepreneurs and public administration institutions",,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_UPVS_UHP_180418.pdf,19.4.2018,543 kB,2.008,SLK_IT-093,,,,,,,,
Informatizacia,Zavedenie služieb Platform as a Service,Introduction of Platform as and Service,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_PaaS_UHP_180418.pdf,19.4.2018,385 kB,2.009,SLK_IT-092,,,,,,,,
Informatizacia,Stanovisko ÚHP MFSR ku hodnoteniu IT projektov predložených na 6. zasadnutie Riadiaceho výboru PO7 OPII,Opinion of the ÚHP MFSR on the evaluation of IT projects submitted to the 6th session of the PO7 OPII Steering Committee,,,stanovisko,opinion,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko-UHP-MFSR-ku-hodnoteniu-IT-projektov.pdf,19.4.2018,112 kB,2.01,SLK_IT-091,,,,,,,,
Informatizacia,Zabezpečenie kancelárskych softvérových licencií pre štátnu správu,Securing office software licenses for the state administration,,,stanovisko,opinion,https://www.mfsr.sk/files/archiv/36/microsoft_stanovisko_UHP_20190815.pdf,3.7.2018,275 kB,2.011,SLK_IT-090,,,,,,,,
Informatizacia,"IT projekty Ministerstva vnútra SR (Centrálne komponenty verejnej správy, Riadenie procesov a dát pre OÚ, PZ a HaZZ, Digitálne pracovné prostredie zamestnanca MV SR)","IT projects of the Ministry of the Interior of the Slovak Republic (Central components of public administration, Management of processes and data for ОÚ, PZ and HaZZ, Digital work environment of employees of the Ministry of the Interior of the Slovak Republic)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_MVSR_projekty.pdf,25.7.2018,404 kB,2.012,SLK_IT-088,,,,,,,,
Informatizacia,Inklúzia prostredníctvom komplexného elektronického riešenia problematiky parkovania osôb s ťažkým zdravotným postihnutím,Inclusion through a comprehensive electronic solution to the issue of parking for persons with severe disabilities,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/einkluzia_UHP_hodnotenie_20181010.pdf,10.10.2018,279 kB,2.013,SLK_IT-085,,,,,,,,
Informatizacia,Jednotný prístup k priestorovým údajom a službám,Unified access to spatial data and services,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/JPPUS_UHP_hodnotenie_20181010_final.pdf,10.10.2018,279 kB,2.014,SLK_IT-087,,,,,,,,
Informatizacia,Integrovaný informačný systém Úradu verejného zdravotníctva,Integrated information system of the Office of Public Health,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/IS_UVZ_UHP_hodnotenie_20181010.pdf,10.10.2018,314 kB,2.015,SLK_IT-086,,,,,,,,
Informatizacia,Informačný systém elektronickej fakturácie,Electronic invoicing information system,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/efaktura_UHP_hodnotenie_20181009_titulka.pdf,19.11.2018,246 kB,2.016,SLK_IT-084,,,,,,,,
Informatizacia,Optimalizácia procesov riadenia a prevádzky Zboru väzenskej a justičnej stráže,Optimizing the management and operation processes of the Prison and Justice Guard Corps,,,analýza,analysis,https://www.mfsr.sk/files/archiv/71/ZVJS_UHP_hodnotenie_181210.pdf,17.12.2018,294 kB,2.017,SLK_IT-083,,,,,,,,
Informatizacia,Online procesy eZdravia,Online processes of eHealth,,,analýza,analysis,https://www.mfsr.sk/files/archiv/17/OPE_UHP_hodnotenie_20181206.pdf,17.12.2018,246 kB,2.018,SLK_IT-082,,,,,,,,
Informatizacia,Zabezpečenie efektívneho používania služieb ESO1 poskytovateľmi zdravotnej starostlivosti na celom území SR (projekt ESO1 – D),Ensuring the effective use of ESO1 services by health care providers throughout the Slovak Republic (ESO1 - D project),,,analýza,analysis,https://www.mfsr.sk/files/archiv/79/ESO1D_UHP_hodnotenie_20181215.pdf,17.12.2018,268 kB,2.019,SLK_IT-081,,,,,,,,
Informatizacia,Zefektívnenie štátneho dozoru v starostlivosti o životné prostredie,Streamlining state supervision in the care of the environment,,,analýza,analysis,https://www.mfsr.sk/files/archiv/34/SIZP_UHP_hodnotenie_20190215.pdf,21.01.2019,459 kB,2.02,SLK_IT-080,,,,,,,,
Informatizacia,Centrálna API Manažment Platforma,Central API Management Platform,,,analýza,analysis,https://www.mfsr.sk/files/archiv/63/API_GW_UHP_hodnotenie_20190220.pdf,21.01.2019,264 kB,2.021,SLK_IT-079,,,,,,,,
Informatizacia,Digitálny ekosystém inklúzie,Digital ecosystem of inclusion,,,analýza,analysis,https://www.mfsr.sk/files/archiv/83/DEI_UHP_hodnotenie_20190220_1030.pdf,21.01.2019,272 kB,2.022,SLK_IT-078,,,,,,,,
Informatizacia,Pamiatkový informačný systém,Monument information system,,,analýza,analysis,https://www.mfsr.sk/files/archiv/4/PAMIS_UHP_hodnotenie_20190220.pdf,21.01.2019,264 kB,2.023,SLK_IT-077,,,,,,,,
Informatizacia,Systém verejného obstarávania,Public procurement system,,,analýza,analysis,https://www.mfsr.sk/files/archiv/55/SVO_UHP_hodnotenie_20190220.pdf,21.01.2019,261 kB,2.024,SLK_IT-076,,,,,,,,
Informatizacia,Služby certifikačnej autority pre FS (PKI služby pre FS) a PKI e-Kasa,Certification authority services for FS (PKI services for FS) and PKI e-Kasa,,,analýza,analysis,https://www.mfsr.sk/files/archiv/50/PKI_FS_hodnotenie_20190408_1530.pdf,8.4.2019,230 kB,2.025,SLK_IT-075,,,,,,,,
Informatizacia,Modernizácia dávkových agend Sociálnej poisťovne,Modernization of social insurance benefit agendas,,,analýza,analysis,https://www.mfsr.sk/files/archiv/9/MODA_UHP_hodnotenie_20190423.pdf,24.4.2019,257 kB,2.026,SLK_IT-072,,,,,,,,
Informatizacia,Elektronizácia služieb regionálneho a vysokého školstva SR,Electronicization of regional and higher education services in the Slovak Republic,,,analýza,analysis,https://www.mfsr.sk/files/archiv/66/MS_UHP_hodnotenie_190424.pdf,24.4.2019,266 kB,2.027,SLK_IT-074,,,,,,,,
Informatizacia,IT platforma lepšej regulácie podľa stratégie RIA 2020 - 2. fáza,IT platform for better regulation according to the RIA 2020 strategy - 2nd phase,,,analýza,analysis,https://www.mfsr.sk/files/archiv/10/RIA_hodnotenie_UHP_2019-04-24_bez_TC.pdf,24.4.2019,463 kB,2.028,SLK_IT-073,,,,,,,,
Informatizacia,"Sčítanie obyvateľov, domov a bytov 2021","Census of population, houses and flats 2021",,,analýza,analysis,https://www.mfsr.sk/files/archiv/81/SODB21_UHP_hodnotenie_190509.pdf,16.5.2019,144 kB,2.029,SLK_IT-071,,,,,,,,
Informatizacia,Jednotný informačný systém štatistických údajov,Unified information system of statistical data,,,analýza,analysis,https://www.mfsr.sk/files/archiv/34/JISSU_UHP_hodnotenie_20190611.pdf,11.6.2019,442 kB,2.03,SLK_IT-070,,,,,,,,
Informatizacia,Konsolidovaná analytická vrstva,Consolidated analytical layer,,,analýza,analysis,https://www.mfsr.sk/files/archiv/25/KAV_UHP_hodnotenie_190611.pdf,11.6.2019,261 kB,2.031,SLK_IT-069,,,,,,,,
Informatizacia,Zvýšenie kapacity vládneho cloudu v Datacentre Kopčianska,Increasing the capacity of the government cloud in the Kopčianska Datacentre,,,analýza,analysis,https://www.mfsr.sk/files/archiv/3/IaaS_Kopc_UHP_hodnotenie_20190611.pdf,11.6.2019,287 kB,2.032,SLK_IT-068,,,,,,,,
